STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
1642,"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",ORISSA,26.50,7.30,7.90,232.00,2.90,2.23,9026.00,30836.00,2013.00
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",ORISSA,22.00,7.40,7.90,246.00,2.30,1.90,1850.00,3900.00,2013.00
1455,"RUSHIKULYA AT GANJAM U/S, ORISSA",ORISSA,27.60,6.90,8.10,3960.00,2.00,2.26,19058.00,22523.00,2013.00
1456,"RUSHIKULYA AT GANJAM D/S, ORISSA",ORISSA,26.80,7.00,8.00,28222.00,1.80,2.54,16613.00,10469.00,2013.00
2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ORISSA,25.60,7.20,7.80,201.00,1.30,1.59,29937.00,31034.00,2013.00
2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ORISSA,26.50,7.30,8.00,221.00,1.20,2.26,16103.00,5289.00,2013.00
1685,"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",PONDICHERRY,24.00,NAN,7.80,NAN,1.00,1.00,NAN,NAN,2013.00
2442,GAUTAMINANGODAVARI RIVER,PONDICHERRY,28.00,8.00,7.70,401.00,NAN,1.00,NAN,NAN,2013.00
2443,GAUTAMINANGODAVARI RIVER,PONDICHERRY,28.00,8.00,8.20,1886.00,4.00,1.00,NAN,NAN,2013.00
2444,CORINGA RIVER,PONDICHERRY,28.00,7.00,8.20,742.00,5.00,1.00,NAN,NAN,2013.00
2445,MAHE RIVER,PONDICHERRY,27.00,7.00,6.40,149.00,4.00,1.00,NAN,NAN,2013.00
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMILNADU,27.80,6.70,7.50,1088.00,1.70,0.00,194.00,474.00,2013.00
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMILNADU,23.40,7.20,6.50,73.00,3.10,0.00,19.00,59.00,2013.00
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMILNADU,25.40,6.70,6.30,98.00,3.30,1.50,21.00,74.00,2013.00
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",TAMILNADU,26.30,6.30,6.50,143.00,4.00,4.00,38.00,124.00,2013.00
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMILNADU,29.00,6.60,6.90,260.00,5.40,1.00,17.00,53.00,2013.00
1328,"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",TAMILNADU,24.60,7.10,6.30,71.00,3.50,1.00,24.00,82.00,2013.00
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMILNADU,23.50,6.90,6.30,65.00,3.50,0.00,17.00,52.00,2013.00
1330,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",TAMILNADU,29.00,7.30,7.10,607.00,3.60,0.88,33.00,104.00,2013.00
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",TAMILNADU,27.00,6.10,7.00,446.00,5.20,0.56,26.00,77.00,2013.00
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TAMILNADU",TAMILNADU,24.00,6.90,6.40,94.00,3.20,1.59,20.00,65.00,2013.00
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI, TAMILNADU",TAMILNADU,28.70,6.80,6.80,451.00,9.40,0.55,22.00,58.00,2013.00
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",TAMILNADU,26.30,6.00,6.60,169.00,3.90,2.00,22.00,84.00,2013.00
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMILNADU,25.70,6.50,6.70,187.00,3.30,3.00,32.00,113.00,2013.00
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",TAMILNADU,26.80,3.40,7.80,2577.00,164.90,1.50,148825783.00,160405392.00,2013.00
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2013.00
1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,23.30,5.50,7.20,636.00,9.70,4.00,1328.00,4975.00,2013.00
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,22.80,4.70,7.30,1088.00,23.80,4.00,28250.00,56000.00,2013.00
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,23.30,5.30,7.20,689.00,11.30,4.00,1350.00,6025.00,2013.00
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,21.80,4.90,7.30,1267.00,23.50,3.00,24750.00,54250.00,2013.00
1698,"D/S CHHATBIR, PUNJAB",PUNJAB,24.30,5.30,7.40,852.00,13.00,4.00,13775.00,26750.00,2013.00
1699,"U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,23.50,4.90,7.50,977.00,16.50,5.00,12375.00,30500.00,2013.00
1700,"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,24.00,4.40,7.40,1256.00,24.80,6.00,25250.00,55250.00,2013.00
1701,"D/S JHARMAL NADI, PUNJAB",PUNJAB,23.50,4.80,7.20,1021.00,20.30,4.00,22875.00,43700.00,2013.00
1702,"U/S JHARMAL NADI, PUNJAB",PUNJAB,23.30,5.10,7.30,971.00,14.80,5.00,2125.00,8425.00,2013.00
1703,"GHAGGER AT MOONAK, PUNJAB",PUNJAB,22.50,4.60,7.40,1284.00,24.30,4.00,21500.00,50000.00,2013.00
1704,"D/S SARDULGARH, PUNJAB",PUNJAB,26.00,4.00,7.40,1096.00,26.00,3.00,31750.00,57500.00,2013.00
1705,"U/S SARDULGARH, PUNJAB",PUNJAB,25.80,4.40,7.30,1002.00,21.50,4.00,21000.00,43750.00,2013.00
1025,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",HARYANA,NAN,NAN,6.90,910.00,13.00,0.00,NAN,NAN,2013.00
1026,"GHAGGAR GHNAN2 AT CHANDARPUR SYPHON,  HARYANA",HARYANA,NAN,NAN,6.50,930.00,15.00,0.00,NAN,NAN,2013.00
1884,RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,NAN,5.00,7.30,NAN,33.90,0.00,NAN,NAN,2013.00
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA),HARYANA,NAN,NAN,6.70,960.00,18.00,0.00,NAN,NAN,2013.00
1718,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,30.70,4.80,7.60,295.00,0.80,0.00,4.00,9.00,2013.00
1871,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,20.30,7.10,7.50,293.00,1.30,0.00,9.00,19.00,2013.00
2624,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,20.70,7.10,7.50,316.00,1.40,0.00,13.00,22.00,2013.00
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,20.80,6.60,7.50,274.00,1.60,0.00,14.00,24.00,2013.00
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,20.60,4.90,7.40,407.00,16.30,0.00,51.00,120.00,2013.00
2947,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,28.00,4.90,8.30,603.00,1.00,0.00,4.00,5.00,2013.00
1717,"KODRA DAM, MOUNT ABU, RAJASTHAN",RAJASTHAN,23.40,5.50,7.40,138.00,0.80,0.00,4.00,6.00,2013.00
2948,"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,25.30,5.50,8.10,625.00,1.10,0.00,4.00,6.00,2013.00
1719,"GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR, RAJASTHAN",RAJASTHAN,31.10,5.00,7.30,305.00,1.70,0.00,4.00,12.00,2013.00
2949,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI, RAJASTHAN",RAJASTHAN,26.30,5.60,8.10,552.00,1.10,0.00,4.00,6.00,2013.00
3305,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,22.00,7.30,7.30,402.00,2.10,0.00,4.00,32.00,2013.00
3383,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,24.40,7.20,7.30,99.00,2.20,1.00,26.00,57.00,2013.00
3384,"BUGI RIVER AT DALU, SOUTH GARO HILLS",MEGHALAYA,23.70,7.20,7.40,102.00,2.20,1.00,25.00,56.00,2013.00
3380,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,24.60,7.60,7.20,72.00,1.80,2.56,24.00,57.00,2013.00
1632,"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,23.10,7.10,7.50,131.00,2.20,3.20,239.00,413.00,2013.00
1428,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,21.70,5.20,2.90,682.00,7.80,1.50,16.00,30.00,2013.00
3369,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,18.20,7.30,7.10,47.00,1.30,2.00,15.00,48.00,2013.00
3370,"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,18.80,7.60,7.20,52.00,1.20,2.00,16.00,36.00,2013.00
3371,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,23.80,8.00,6.90,64.00,1.80,3.38,23.00,49.00,2013.00
3372,RILANG RIVER,MEGHALAYA,17.80,7.90,7.30,46.00,1.40,1.00,12.00,29.00,2013.00
3373,WAH BLEI,MEGHALAYA,18.70,7.40,7.20,53.00,1.90,3.00,14.00,32.00,2013.00
3374,WAH BLEI,MEGHALAYA,18.80,7.70,7.20,55.00,1.60,3.00,15.00,63.00,2013.00
3375,LUKHA RIVER,MEGHALAYA,21.30,6.80,2.70,1074.00,3.20,2.33,4.00,11.00,2013.00
3376,LUKHA RIVER,MEGHALAYA,22.60,7.10,6.50,237.00,3.80,4.56,674.00,1072.00,2013.00
3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,25.20,7.80,7.20,50.00,1.60,1.77,20.00,41.00,2013.00
3382,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,24.80,7.30,7.30,71.00,2.00,2.66,21.00,47.00,2013.00
3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,19.90,7.30,7.00,91.00,1.80,3.30,20.00,45.00,2013.00
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,20.70,7.40,7.10,49.00,1.70,2.44,19.00,42.00,2013.00
1631,"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,20.60,6.50,7.10,99.00,2.70,3.56,1967.00,2722.00,2013.00
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,21.50,7.50,5.70,50.00,1.50,2.21,10.00,23.00,2013.00
3367,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,17.70,5.80,6.90,68.00,3.10,4.90,197.00,463.00,2013.00
3368,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,17.90,6.90,7.20,44.00,1.40,2.66,14.00,33.00,2013.00
1633,"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",MEGHALAYA,23.90,7.80,7.30,93.00,1.90,2.99,264.00,444.00,2013.00
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,18.00,6.60,7.00,66.00,2.30,4.00,29.00,63.00,2013.00
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,18.40,7.60,7.10,53.00,1.70,3.00,23.00,53.00,2013.00
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,18.80,7.80,7.00,47.00,1.40,2.00,8.00,35.00,2013.00
3356,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,24.80,7.70,7.40,128.00,1.60,3.32,25.00,56.00,2013.00
3350,UMKHEN AT WAHKDAIT,MEGHALAYA,19.30,7.10,7.00,54.00,1.80,2.58,20.00,43.00,2013.00
3351,UMKHEN AT KSEHPONGDENG,MEGHALAYA,20.60,7.40,7.00,69.00,1.60,3.30,17.00,87.00,2013.00
3352,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,20.70,7.50,7.20,58.00,1.60,2.25,21.00,46.00,2013.00
3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,18.40,3.10,7.20,401.00,21.80,19.00,22556.00,31444.00,2013.00
3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,19.10,4.70,7.20,202.00,13.60,15.00,13444.00,20056.00,2013.00
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,19.70,2.10,7.20,303.00,37.20,18.20,39444.00,62333.00,2013.00
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,20.10,1.80,7.20,394.00,40.60,15.40,57222.00,96944.00,2013.00
3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,17.60,7.20,6.90,55.00,1.70,3.04,26.00,56.00,2013.00
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,22.70,7.90,7.10,55.00,1.20,3.55,23.00,50.00,2013.00
3363,"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA,17.90,6.90,6.90,52.00,2.20,3.48,1576.00,45.00,2013.00
3364,"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,18.90,1.90,7.00,306.00,34.20,17.90,48278.00,85667.00,2013.00
3365,"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",MEGHALAYA,19.40,4.50,7.10,196.00,15.50,11.00,48611.00,43333.00,2013.00
1427,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA,23.70,7.20,7.10,107.00,6.70,5.56,303.00,476.00,2013.00
3366,"UMTREW RIVER AT UMRAN, RINAN BHOI",MEGHALAYA,22.70,7.50,7.00,82.00,2.10,3.02,45.00,122.00,2013.00
2050,TLAWNG UPSTREAM AIZAWL,MIZORAM,23.60,7.10,7.50,189.00,1.90,1.00,NAN,NAN,2013.00
2051,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,23.80,7.00,7.60,197.00,1.80,1.00,NAN,NAN,2013.00
2052,TUIRIAL UPPER CATCHMENT,MIZORAM,23.50,7.20,7.90,158.00,1.90,0.95,NAN,NAN,2013.00
2053,TUIRIAL LOWER CATCHMENT,MIZORAM,23.50,6.50,7.80,161.00,1.80,0.99,NAN,NAN,2013.00
1403,"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",TRIPURA,27.40,6.60,7.70,165.00,1.70,0.00,280.00,325.00,2013.00
1404,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",TRIPURA,21.90,6.70,7.80,167.00,4.80,1.00,440.00,520.00,2013.00
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,27.50,6.60,7.70,183.00,3.70,1.55,415.00,575.00,2013.00
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,31.00,7.10,7.80,151.00,8.00,0.08, , ,2012.00
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,28.00,7.20,7.40,319.00,0.70,0.18,5.00,10.00,2012.00
1865,RIVER DHADAR AT KOTHADA,GUJARAT,27.00,6.20,8.40,894.00,9.00,0.38,140.00,350.00,2012.00
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESHWAR,GUJARAT,30.00,2.20,8.00,1835.00,17.90,0.86,10478.00,25478.00,2012.00
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,31.00,2.00,7.70,3165.00,32.30,3.44,11498.00,15173.00,2012.00
1149,KOLAK AT PATALIA BDG,GUJARAT,29.00,2.40,7.60,1500.00,6.20,1.31,3.00,13.00,2012.00
1399,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,31.00,5.90,7.20,52.00,2.10,0.08, ,90.00,2012.00
1475,ZUARI AT PANCHAWADI,GOA,30.00,6.10,6.80,408.00,1.30,0.17,1300.00,3808.00,2012.00
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,30.00,5.50,6.90,143.00,1.30,0.09,4100.00,11113.00,2012.00
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,29.00,5.40,7.20,60.00,1.50,0.08,428.00,2309.00,2012.00
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,29.00,5.80,7.20,34.00,5.30,0.17,855.00,3322.00,2012.00
1476,"MANDOVI AT TONCA, MARCELA",GOA,29.00,5.90,6.70,125.00,1.50,0.14,1638.00,5793.00,2012.00
3185,MANDOVI AT AMONA BRIDGE,GOA,28.00,6.40,6.70,175.00,1.30,0.10,772.00,3636.00,2012.00
3186,RIVER MANDOVI AT IFFI JETTY,GOA,30.00,6.20,7.70,39.00,1.30,0.06,1296.00,4517.00,2012.00
3187,MANDOVI NEAR HOTEL MARRIOT,GOA,30.00,6.10,7.80,39.00,1.50,0.06,1032.00,5840.00,2012.00
1543,KALNA AT CHANDELNAN PERNEM,GOA,27.00,7.30,6.90,61.00,0.70,0.09,1430.00,4388.00,2012.00
1548,RIVER ASSONORA AT ASSONORA,GOA,28.00,6.80,6.60,71.00,1.50,0.14,2495.00,3949.00,2012.00
2276,"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,29.00,7.40,6.50,129.00,2.30,0.49,5868.00,16691.00,2012.00
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.00,7.00,6.80,503.00,1.60,0.66,965.00,2404.00,2012.00
3189,RIVER CHAPORA AT SIOLIM,GOA,29.00,6.30,7.50,31.00,1.60,0.06,1466.00,4267.00,2012.00
1546,KHANDEPAR AT OPA NAN PONDA,GOA,29.00,7.10,6.80,70.00,0.80,0.17,716.00,3567.00,2012.00
2270,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,30.00,7.30,6.80,69.00,1.20,0.12,457.00,2446.00,2012.00
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.00,6.70,6.60,118.00,1.00,0.22,1104.00,3496.00,2012.00
1545,RIVER MADAI AT DABOS NAN  VALPOI,GOA,28.00,7.40,6.80,80.00,1.30,0.06,274.00,1404.00,2012.00
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29.00,4.50,6.60,250.00,2.40,0.16,1572.00,5889.00,2012.00
2271,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,28.00,6.10,6.90,74.00,1.80,0.19,1074.00,3937.00,2012.00
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,30.00,5.90,7.30,44.00,1.60,0.14,962.00,2794.00,2012.00
3183,"SAL AT KHAREBAND, MARGAO",GOA,30.00,2.40,6.50,195.00,4.80,0.35,7980.00,14217.00,2012.00
3184,"SAL AT ORLIM BRIDGE, ORLIM",GOA,31.00,4.00,6.80,207.00,1.80,0.34,818.00,2280.00,2012.00
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,29.00,5.40,7.60,40.00,1.60,0.07,290.00,1330.00,2012.00
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.00,5.30,7.60,41.00,1.40,0.08,952.00,2517.00,2012.00
1547,RIVER TALPONA AT CANACONA,GOA,29.00,7.00,6.90,54.00,0.80,0.21,667.00,3059.00,2012.00
3188,RIVER TIRACOL AT TIRACOL,GOA,29.00,5.90,7.70,44.00,2.10,0.08,1200.00,831.00,2012.00
1544,VALVANT AT SANKLI NAN BICHOLIM,GOA,29.00,7.10,6.50,60.00,1.70,0.13,2926.00,8163.00,2012.00
2651,"AMBA AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,29.00,6.90,7.70,99.00,3.30,0.56,53.00,123.00,2012.00
1461,BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),MAHARASHTRA,30.00,6.60,7.90,123.00,3.20,0.52,44.00,104.00,2012.00
2653,"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR,THANE",MAHARASHTRA,27.00,6.60,7.70,220.00,3.60,0.65,25.00,77.00,2012.00
2654,"BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.00,6.80,7.70,219.00,3.40,0.63,23.00,75.00,2012.00
1092,KALU AT ATALE VILLAGE,MAHARASHTRA,27.00,4.80,7.20,5429.00,8.40,2.08,177.00,408.00,2012.00
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,23.00,6.40,8.00,493.00,4.20,3.91,17.00,68.00,2012.00
1152,KUNDALIKA AT ROHA CITY,MAHARASHTRA,29.00,6.80,7.60,100.00,3.00,0.54,124.00,295.00,2012.00
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,29.00,6.70,7.50,316.00,4.60,0.60,47.00,132.00,2012.00
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,28.00,5.80,7.90,37227.00,9.50,1.42,231.00,451.00,2012.00
2672,"KUNDALIKA AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,29.00,6.90,7.70,84.00,3.10,0.42,69.00,168.00,2012.00
2168,MITHI RIVER,MAHARASHTRA,25.00,4.90,7.60,21254.00,55.50,2.18,560.00,964.00,2012.00
2676,"MUCHKUNDI RIVER AT  WAKED, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,28.00,6.90,7.90,312.00,2.70,1.58,4.00,107.00,2012.00
1151,PATALGANGA AT SHILPHATA,MAHARASHTRA,29.00,6.80,7.50,146.00,3.00,0.60,124.00,241.00,2012.00
1462,PATALGANGA NEAR INTAKE OF MIDC W/W,MAHARASHTRA,29.00,6.70,7.30,127.00,2.90,0.59,100.00,209.00,2012.00
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,29.00,5.60,6.90,432.00,4.50,1.72,58.00,173.00,2012.00
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,29.00,6.50,7.30,126.00,3.00,0.59,132.00,284.00,2012.00
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,30.00,7.10,7.50,128.00,3.00,0.60,136.00,297.00,2012.00
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,30.00,6.40,7.30,129.00,3.10,0.60,68.00,191.00,2012.00
2689,"PATALGANGA AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,29.00,6.90,7.70,129.00,2.90,0.55,135.00,268.00,2012.00
2696,"PEHLAR DAM ON PEHLAR INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,25.00,7.00,7.90,153.00,2.90,0.55,30.00,86.00,2012.00
2199,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,30.00,6.40,7.60,10165.00,3.70,2.14,5.00,139.00,2012.00
2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,30.00,6.90,7.70,307.00,2.80,3.60,4.00,123.00,2012.00
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,31.00,6.30,7.70,322.00,3.50,1.10,4.00,116.00,2012.00
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,30.00,6.50,7.50,5835.00,3.40,1.72,4.00,126.00,2012.00
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,30.00,6.30,7.40,9245.00,4.70,2.00,4.00,134.00,2012.00
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,28.00,6.50,8.10,1907.00,4.00,0.55,46.00,115.00,2012.00
2707,"SURYA AT MIDC PUMPING STN, GARVASHET, PALGHAR, THANE",MAHARASHTRA,28.00,7.00,8.00,1896.00,3.50,0.64,190.00,245.00,2012.00
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,28.00,7.00,8.00,206.00,2.90,0.56,31.00,74.00,2012.00
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.00,6.80,7.80,239.00,3.30,0.56,33.00,77.00,2012.00
1093,ULHAS AT U/S OF NRC BUND AT MOHANE,MAHARASHTRA,27.00,6.40,7.60,152.00,3.20,0.96,62.00,142.00,2012.00
1094,ULHAS AT U/S OF BADLAPUR,MAHARASHTRA,26.00,6.70,7.70,146.00,3.00,0.89,30.00,73.00,2012.00
2162,ULHAS ATJAMBHUL WATER WORKS,MAHARASHTRA,27.00,6.70,7.60,137.00,2.90,0.76,24.00,64.00,2012.00
2712,"VAITARNA NR RD BDG, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,28.00,6.60,7.80,228.00,3.50,0.57,30.00,79.00,2012.00
2164,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,23.00,7.00,7.70,409.00,2.40,0.93,4.00,112.00,2012.00
2713,"VASHISHTI  AT D/S OF THREE M PAPER MILLS NR CHIPLUN WATER INTAKE JACKWELL,KHERDI,RATNAGIRI",MAHARASHTRA,22.00,6.80,7.60,263.00,2.90,0.81,4.00,123.00,2012.00
2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,23.00,6.90,7.50,338.00,2.30,3.93,4.00,108.00,2012.00
